GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.controller,SonarController,147,0,20,0,33,0,15,0,5,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.controller,PingController,8,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard,Application,29,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonar56Client,76,4,2,0,18,1,3,1,2,1
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonar8Client,20,63,0,0,6,12,0,5,0,5
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarCollectorTask,699,475,89,20,135,103,62,18,13,12
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonar6Client,525,688,64,47,107,130,55,39,12,26
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarClientSelector,59,56,4,12,10,13,3,9,1,3
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonarClient,570,0,39,0,124,0,37,0,17,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarSettings,60,21,0,0,26,5,17,2,17,2
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.util,SonarCollectorUtil,113,0,4,0,31,0,5,0,3,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.util,SonarDashboardUrl,0,34,0,2,0,10,0,3,0,2
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.model,SonarProject,47,42,10,0,7,10,7,7,2,7
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.model,SonarCollector,7,109,2,2,3,26,4,4,2,4
